Jenjang;Fakultas;Tipe;Prodi;Jenis_Kelamin;Agama;Tanggal_Lulus;Lama_Studi;Periode_Wisuda;IPK;Jalur_Penerimaan;SPP;Level_UKT;Jenis_UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;23-12-2019;5 Tahun 5 Bulan;20193;2.95;SBMPTN;1700000;3;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;14-09-2018;4 Tahun 2 Bulan;20181;3.06;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;14-09-2018;4 Tahun 2 Bulan;20181;3.06;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;14-09-2018;4 Tahun 2 Bulan;20181;3.06;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.27;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.27;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.27;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.2;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.2;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.2;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;18-04-2018;NULL;20173;3.75;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;18-04-2018;NULL;20173;3.75;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;18-04-2018;NULL;20173;3.75;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.27;SBMPTN;1000000;2;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.27;SBMPTN;1000000;2;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.27;SBMPTN;1000000;2;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.44;SBMPTN;1000000;2;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.44;SBMPTN;1000000;2;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.44;SBMPTN;1000000;2;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;24-08-2018;4 Tahun 1 Bulan;20181;3.25;SBMPTN;500000;1;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;24-08-2018;4 Tahun 1 Bulan;20181;3.25;SBMPTN;500000;1;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;24-08-2018;4 Tahun 1 Bulan;20181;3.25;SBMPTN;500000;1;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;15-10-2018;4 Tahun 3 Bulan;20181;3.09;SBMPTN;1700000;3;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;15-10-2018;4 Tahun 3 Bulan;20181;3.09;SBMPTN;1700000;3;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;15-10-2018;4 Tahun 3 Bulan;20181;3.09;SBMPTN;1700000;3;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;03-07-2019;5 Tahun 0 Bulan;20184;2.73;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;03-07-2019;5 Tahun 0 Bulan;20184;2.73;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;03-07-2019;5 Tahun 0 Bulan;20184;2.73;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;23-04-2019;4 Tahun 9 Bulan;20183;3.01;SBMPTN;500000;1;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;23-04-2019;4 Tahun 9 Bulan;20183;3.01;SBMPTN;500000;1;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;23-04-2019;4 Tahun 9 Bulan;20183;3.01;SBMPTN;500000;1;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;23-10-2018;4 Tahun 3 Bulan;20181;3.06;SBMPTN;1000000;2;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;23-10-2018;4 Tahun 3 Bulan;20181;3.06;SBMPTN;1000000;2;UKT
